from,to,relation,weight
alva,azat,2,2
alva,chri,2,1
alva,kava,2,2
alva,maks,2,2
alva,prim,2,2
alva,prot,3,2
alva,skep,2,2
alva,runa,2,2
alva,sill,2,2
azat,chri,2,1
azat,kava,2,2
azat,maks,2,2
azat,prim,2,2
azat,prot,2,2
azat,skep,2,2
azat,runa,2,2
kava,sill,2,2
kava,chri,2,1
kava,maks,2,2
kava,prim,2,2
kava,prot,2,2
kava,skep,2,2
kava,runa,2,2
maks,prim,2,2
maks,prot,2,2
maks,skep,2,2
maks,runa,2,2
maks,chri,2,1
prim,prot,2,2
prim,skep,2,2
prim,runa,2,2
prim,sill,2,2
prim,chri,2,1
prot,skep,2,2
prot,runa,2,2
prot,sill,2,2
prot,chri,2,1
skep,runa,2,2
skep,sill,2,2
skep,chri,2,1
runa,sill,2,2
runa,chri,2,1
sill,chri,2,1
menx,azat,2,1
menx,chri,2,1
menx,kava,2,1
menx,maks,2,1
menx,prim,2,1
menx,prot,2,1
menx,skep,2,1
menx,runa,2,1
brig,ndsr,4,1
brig,prot,3,2
brig,runa,3,1
mart,prot,2,1
mart,patr,2,1
prot,patr,2,1
mart,iden,5,2
prot,iden,5,1
lass,dier,5,1
lass,prot,1,1
lass,sill,1,1
bloo,prot,2,2
stev,prot,1,1
stev,kava,1,1
stev,maks,1,1
bloo,juli,2,2
juli,frau,5,1
bala,kava,1,1
bala,sill,1,1
deut,prot,2,1
deut,maks,2,1
john,ndsr,1,1
john,prot,1,1
john,kava,1,1
alva,pfor,2,1
pfor,iden,2,2
prot,pfor,2,1
prot,iden,5,1
derd,ndsr,2,1
kris,runa,3,2
kris,bala,5,1
jann,apyl,4,1
jann,blog,4,1
jann,azat,2,2
subv,ndsr,2,2
alva,ndsr,5,2
azat,ndsr,5,2
chri,ndsr,5,2
kava,ndsr,5,2
maks,ndsr,5,2
prim,ndsr,5,2
prot,ndsr,5,2
skep,ndsr,5,2
runa,ndsr,5,2
sill,ndsr,5,2
jung,subv,2,2
bala,kava,1,1
bala,sill,1,1
stev,prot,1,1
stev,kava,1,1
stev,maks,1,1
küst,nils,4,2
küst,fron,2,2
fron,maks,2,1
fron,prot,2,1
nils,hamm,5,2
subv,svpm,2,2
mari,svpm,5,2
gals,prot,2,1
gals,alva,2,1
gals,bloo,2,1
gals,maks,2,1
gals,kava,2,1
gals,azat,2,1
gals,skep,2,1
