id,name,type,sex,age_real,politics,county,born in,spotify_listener,criminal,religion,start,exit
aaro,Aaron Scotch,1,m,38,NA,Sachsen,DDR,11734,nein,NA,2006,2020
acaz,Acaz,1,m,NA,NA,Rheinland-Pfalz,NA,11369,nein,NA,2009,nein
alva,Alva,1,w,NA,NA,NA,NA,2382,NA,NA,2022,NA
assi,AssiH,1,m,NA,NA,NA,NA,169525,NA,NA,2021,NA
azat,Azatro,1,m,NA,NA,NA,NA,1618,NA,NA,2011,NA
bloo,Bloody32,1,m,NA,Zukunft Heimat,Brandenburg,NA,1618,nein,NA,2013,NA
bzn,Bözemann,1,m,44,Kampf der Nibelungen,Baden-Württemberg,Baden-Württemberg,10622,ja,NA,2006,NA
bus,Bustek,1,m,34,NA,Berlin,Berlin,1907,nein,NA,2019,NA
came,Came,1,m,NA,NA,Berlin,NA,18089,ja,NA,2017,NA
chid,Chidvillas,2,NA,NA,NA,NA,NA,470,NA,NA,2017,NA
chri,Chris Ares,1,m,31,Identitäre Bewegung,Bayern,Baden-Württemberg,0,NA,NA,2014,2020
deee,Dee Ex,1,w,42,NA,Berlin,Berlin,0,nein,NA,2008,NA
dert,Der Typ,1,m,NA,Corona-Rebellen Düsseldorf,Nordrhein-Westfalen,NA,4182,ja,NA,2020,NA
diss,Dissziplin,1,m,39,Identitäre Bewegung,Sachsen,Brandenburg,11458,nein,NA,2005,NA
dcv,DCVDNS,1,m,36,NA,Saarland,Saarland,114137,nein,NA,2007,NA
dri,Driugan,1,m,32,NA,Sachsen-Anhalt,NA,0,NA,NA,2015,NA
frey,Freya,1,w,NA,NA,NA,NA,1618,NA,NA,2024,NA
gals,Galstarr (Absztrakkt),1,m,45,Neue Weltordnung,Nordrhein-Westfalen,Kärnten,4976,ja,bhuddistisch,2001,NA
gzuz,Gzuz,1,m,35,NA,Hamburg,Hamburg,2.776.551,Haftstrafe 3 Jahre,NA,2006,NA
goet,Goethe,1,m,37,NA,Nordrhein-Westfalen,Nordrhein-Westfalen,2888,nein,NA,2012,NA
gory,Gory Gore,1,m,NA,NA,Nordrhein-Westfalen,Nordrhein-Westfalen,134,nein,NA,2004,NA
haft,Haftbefehl,1,m,39,NA,Dubai,Hessen,2348734,ja,NA,2010,NA
hen,Henry8,1,m,NA,NA,Rheinland-Pfalz,Rheinland-Pfalz,NA,NA,NA,2012,NA
holy,holy smokez,1,m,43,NA,Hamburg,Hamburg,2229,nein,NA,2021,NA
ills,Illstar,1,m,NA,NA,NA,NA,930,NA,NA,2009,NA
joe,Joe Rilla (auch RILLA),1,m,49,NA,Berlin,Berlin-Marzahn,14150,ja,NA,2004,NA
juli,Julia Juls,1,w,NA,Frauenbündnis Kandel,NA,NA,995,NA,NA,2021,NA
kava,Kavalier,1,m,NA,Identitäre Bewegung,Sachsen,NA,10309,NA,NA,2022,NA
koll,Kollegah,1,m,40,NA,Hessen,Hessen,1083043,ja,islamisch,2005,NA
komb,Kombaat,1,m,NA,NA,Bayern,Tirol,539,ja,NA,2023,NA
komp,Komplott,1,m,31,Identitäre Bewegung,Baden-Württemberg,Baden-Württemberg,0,NA,NA,2017,NA
kont,Kontra K,1,m,37,NA,Berlin,Berlin,3567270,ja,christlich,2010,NA
lapa,Lapaz,1,m,42,NA,Hessen,Nordrhein-Westfalen,2955,NA,NA,2016,NA
maks,MaKss Damage (MKD),1,m,36,Der III. Weg,NA,Nordrhein-Westfalen,1651,NA,NA,2008,NA
man,Manuellsen,1,m,45,Hells Angels,Nordrhein-Westfalen,Berlin,284098,ja,islamisch,2008,NA
mea,Mea Liebe,1,w,37,NA,Berlin,Berlin,435,NA,NA,2022,NA
menx,Menx,1,m,NA,NA,NA,NA,3644,NA,NA,2022,NA
micr,Mic Revolt,1,m,37,NPD-Sympathisant,Thüringen,Sachsen-Anhalt,0,nein,NA,2012,2021
omik,Omik K.,1,m,35,Hells Angels,Sachsen,Kuba,17867,nein,NA,2004,
phiz,Phizzo,1,m,43,NA,Berlin,Berlin,3101,nein,NA,2020,nein
pie,Pie Kei,1,m,37,Dynamo Dresden Ultras,Sachsen,Sachsen,10624,nein,NA,2005,nein
prim,Primus,1,m,25,Identitäre Bewegung,Nordrhein-Westfalen,Nordrhein-Westfalen,2860,nein,NA,2020,nein
prot,Prototyp,1,m,32,IB,Sachsen,Nordrhein-Westfalen,4650,ja,NA,2019,nein
raw,R.a.W.,1,m,NA,Barnimer Freundschaft,Berlin,NA,0,NA,NA,NA,NA
runa,Runa,1,w,30,IB Sympathisant,Sachsen,NA,5634,nein,NA,2020,nein
schw,SchwrzVyce,1,m,39,AfD,Hessen,Hessen,21503,NA,NA,2020,NA
shim,Shiml,1,m,39,NA,Bremen,Bremen,29484,NA,NA,2006,NA
skep,Skeptika,1,m,NA,NA,Nordrhein-Westfalen,Bayern,8594,NA,NA,2023,NA
skun,Skunk Beatz,1,m,NA,NA,Berlin,Schweiz,261,NA,NA,2023,NA
tai,Taichi,1,m,40,NA,Berlin,Okzitanien,14244,NA,NA,2008,NA
tbu,TBurnA,1,m,42,NA,Nordrhein-Westfalen,NA,1952,ja,christlich,2018,NA
toni,Toni Tano,1,m,NA,NA,Mexiko,NA,1618,ja,NA,2024,NA
tum,Tumani,1,m,40,NA,Hessen,Hessen,653,NA,NA,2005,NA
twan,Twanie,1,m,37,Neue Weltordnung,NA,Schleswig-Holstein,1621,NA,christlich,2022,NA
twin,Twin,1,m,40,Hooligan-Szene,Hessen,Hessen,37988,NA,NA,2013,NA
ukv,Ukvali,1,m,34,Neue Weltordnung,Hessen,Hessen,6518,NA,NA,2016,NA
urba,Urbanize,2,m,NA,NA,NA,Nordrhein-Westfalen,52899,NA,NA,2005,NA
vill,Villian051,1,m,NA,Barnimer Freundschaft,Berlin,NA,0,ja,NA,2009,
xavi,Xavier Naidoo,1,m,53,NA,Baden-Württemberg,Baden-Württemberg,618667,ja,christlich,2020,NA
yann,Yannick D.,1,m,NA,Neue Weltordnung,Hamburg,Schleswig-Holstein,2578,NA,christlich,2016,NA
nouv,NouVision Song contest,3,NA,NA,NA,NA,NA,0,NA,NA,2021,NA
nds,Neuer Deutscher Standard,4,NA,NA,NA,NA,NA,0,NA,NA,2019,NA
takt,Taktstock Records,4,NA,NA,NA,NA,NA,0,NA,NA,2017,NA
svp,sub-version-production,4,NA,NA,NA,NA,NA,0,NA,NA,2000,NA
norr,No Return Records,4,NA,NA,NA,NA,NA,0,NA,NA,2019,NA
reco,recordJet,4,NA,NA,NA,NA,NA,0,NA,NA,2008,NA
rata,Rat-a-tat Records,4,NA,NA,NA,NA,NA,0,NA,NA,2018,NA
onen,One Nation Recordz,4,NA,NA,NA,NA,NA,0,NA,NA,2016,NA
eine,Eine der Wenigen,4,NA,NA,NA,NA,NA,0,NA,NA,2017,NA
rapb,Rapbellion,2,NA,NA,NA,NA,NA,0,NA,NA,2021,NA
new,NewDEF,4,NA,NA,NA,NA,NA,0,NA,NA,2006,NA
hate,Hatefuckmusic,4,NA,NA,NA,NA,NA,0,NA,NA,2021,NA
soci,n'Socialist Soundsystem,2,NA,NA,NA,Rheinland-Pfalz,Rheinland-Pfalz,0,NA,NA,2010,NA
jahr,Jahresabschlussfeier,3,NA,NA,Junge Alternative Brandenburg,Brandenburg,NA,0,NA,NA,2023,NA
